t_sim_ms,x,y,theta_encoder,theta_gyro,theta_kalman,waypoint,error_m,evadiendo
64,-0.875,0.875,0.0,0.0,0.0,1,0.25,0
128,-0.871,0.875,0.0,-0.0,-0.0,1,0.246,0
192,-0.8671,0.875,0.0,-0.0,-0.0,1,0.2421,0
256,-0.8632,0.875,0.0,-0.0,-0.0,1,0.2382,0
320,-0.8593,0.875,0.0,-0.0,-0.0,1,0.2343,0
384,-0.8553,0.875,0.0,-0.0,-0.0,1,0.2303,0
448,-0.8514,0.875,0.0,-0.0,-0.0,1,0.2264,0
512,-0.8474,0.875,0.0,-0.0,-0.0,1,0.2224,0
576,-0.8436,0.875,0.0,-0.0,0.0,1,0.2186,0
640,-0.8396,0.875,0.0,-0.0,0.0,1,0.2146,0
704,-0.8357,0.875,0.0,-0.0,0.0,1,0.2107,0
768,-0.8317,0.875,0.0,-0.0,0.0,1,0.2067,0
832,-0.8278,0.875,0.0,-0.0,0.0,1,0.2028,0
896,-0.8239,0.875,0.0,-0.0,0.0,1,0.1989,0
960,-0.8199,0.875,0.0,0.0,0.0,1,0.1949,0
1024,-0.816,0.875,0.0,0.0,0.0,1,0.191,0
1088,-0.812,0.875,0.0,0.0,0.0,1,0.187,0
1152,-0.8082,0.875,0.0,0.0,0.0,1,0.1832,0
1216,-0.8042,0.875,0.0,0.0,0.0,1,0.1792,0
1280,-0.8003,0.875,0.0,0.0,0.0,1,0.1753,0
1344,-0.7963,0.875,0.0,0.0,0.0,1,0.1713,0
1408,-0.7923,0.875,0.0,0.0,0.0,1,0.1673,0
1472,-0.7885,0.875,0.0,0.0,0.0,1,0.1635,0
1536,-0.7845,0.875,0.0,0.0,0.0,1,0.1595,0
1600,-0.7806,0.875,0.0,0.0,-0.0,1,0.1556,0
1664,-0.7766,0.875,0.0,0.0,-0.0,1,0.1516,0
1728,-0.7728,0.875,0.0,0.0,-0.0,1,0.1478,0
1792,-0.7688,0.875,0.0,0.0,-0.0,1,0.1438,0
1856,-0.7649,0.875,0.0,0.0,-0.0,1,0.1399,0
1920,-0.7609,0.875,0.0,0.0,-0.0,1,0.1359,0
1984,-0.7571,0.875,0.0,-0.0,-0.0,1,0.1321,0
2048,-0.7531,0.875,0.0,-0.0,-0.0,1,0.1281,0
2112,-0.7491,0.875,0.0,-0.0,-0.0,1,0.1241,0
2176,-0.7452,0.875,0.0,-0.0,-0.0,1,0.1202,0
2240,-0.7412,0.875,0.0,-0.0,-0.0,1,0.1162,0
2304,-0.7374,0.875,0.0,-0.0,-0.0,1,0.1124,0
2368,-0.7334,0.875,0.0,-0.0,-0.0,1,0.1084,0
2432,-0.7295,0.875,0.0,-0.0,-0.0,1,0.1045,0
2496,-0.7255,0.875,0.0,-0.0,-0.0,1,0.1005,0
2560,-0.7217,0.875,0.0,-0.0,-0.0,1,0.0967,0
2624,-0.7177,0.875,0.0,-0.0,0.0,1,0.0927,0
2688,-0.7137,0.875,0.0,-0.0,0.0,1,0.0887,0
2752,-0.7098,0.875,0.0,-0.0,0.0,1,0.0848,0
2816,-0.7058,0.875,0.0,-0.0,0.0,1,0.0808,0
2880,-0.702,0.875,0.0,-0.0,0.0,1,0.077,0
2944,-0.698,0.875,0.0,-0.0,0.0,1,0.073,0
3008,-0.6941,0.875,0.0,-0.0,0.0,1,0.0691,0
3072,-0.6901,0.875,0.0,0.0,0.0,1,0.0651,0
3136,-0.6863,0.875,0.0,0.0,0.0,1,0.0613,0
3200,-0.6823,0.875,0.0,0.0,0.0,1,0.0573,0
3264,-0.6784,0.875,0.0,0.0,0.0,1,0.0534,0
3328,-0.6744,0.875,0.0,0.0,0.0,1,0.0494,0
3392,-0.6704,0.875,0.0,0.0,0.0,1,0.0454,0
3456,-0.6666,0.875,0.0,0.0,0.0,1,0.0416,0
3520,-0.6626,0.875,0.0,0.0,0.0,1,0.0376,0
3584,-0.6587,0.875,0.0,0.0,0.0,1,0.0337,0
3648,-0.6547,0.875,0.0,0.0,0.0,1,0.0297,0
3712,-0.6509,0.875,0.0,0.0,-0.0,1,0.0259,0
3776,-0.6469,0.875,0.0,0.0,-0.0,1,0.0219,0
3840,-0.643,0.875,0.0,0.0,-0.0,1,0.018,0
3904,-0.639,0.875,0.0,0.0,-0.0,1,0.014,0
4032,-0.6312,0.875,0.0,0.0,-0.0,2,0.2501,0
4096,-0.6311,0.875,-8.07,-7.99,-8.02,2,0.2501,0
4160,-0.6312,0.875,-15.37,-15.31,-15.35,2,0.2501,0
4224,-0.6312,0.875,-22.03,-22.02,-22.05,2,0.2501,0
4288,-0.6312,0.875,-28.17,-28.07,-28.12,2,0.2501,0
4352,-0.6312,0.875,-33.55,-33.56,-33.59,2,0.2501,0
4416,-0.6311,0.8749,-38.67,-38.51,-38.59,2,0.25,0
4480,-0.6306,0.8746,-43.16,-42.99,-43.1,2,0.2496,0
4544,-0.6301,0.874,-47.25,-47.08,-47.22,2,0.2491,0
4608,-0.6294,0.8732,-51.1,-50.82,-51.0,2,0.2483,0
4672,-0.6286,0.8721,-54.55,-54.2,-54.45,2,0.2472,0
4736,-0.6277,0.8708,-57.76,-57.3,-57.62,2,0.2458,0
4800,-0.6268,0.8693,-60.7,-60.13,-60.54,2,0.2443,0
4864,-0.6259,0.8676,-63.26,-62.72,-63.17,2,0.2426,0
4928,-0.625,0.8657,-65.69,-65.11,-65.61,2,0.2407,0
4992,-0.6241,0.8637,-68.0,-67.29,-67.87,2,0.2387,0
5056,-0.6232,0.8614,-70.05,-69.3,-69.94,2,0.2364,0
5120,-0.6224,0.859,-71.71,-71.14,-71.76,2,0.234,0
5184,-0.6216,0.8565,-73.63,-72.84,-73.52,2,0.2315,0
5248,-0.6209,0.8539,-75.17,-74.4,-75.11,2,0.2289,0
5312,-0.6202,0.8511,-76.58,-75.84,-76.56,2,0.2261,0
5376,-0.6196,0.8483,-77.99,-77.17,-77.92,2,0.2233,0
5440,-0.619,0.8453,-79.14,-78.39,-79.14,2,0.2204,0
5504,-0.6184,0.8423,-80.17,-79.51,-80.23,2,0.2174,0
5568,-0.6179,0.8392,-81.32,-80.55,-81.29,2,0.2143,0
5632,-0.6175,0.836,-82.21,-81.51,-82.24,2,0.2112,0
5696,-0.617,0.8328,-83.11,-82.4,-83.12,2,0.2079,0
5760,-0.6167,0.8295,-84.01,-83.22,-83.96,2,0.2047,0
5824,-0.6163,0.8262,-84.78,-83.97,-84.74,2,0.2014,0
5888,-0.616,0.8228,-85.42,-84.67,-85.43,2,0.198,0
5952,-0.6158,0.8193,-86.18,-85.32,-86.11,2,0.1945,0
6016,-0.6156,0.8158,-86.7,-85.91,-86.7,2,0.1911,0
6080,-0.6154,0.8123,-87.34,-86.46,-87.28,2,0.1876,0
6144,-0.6152,0.8088,-87.72,-86.97,-87.77,2,0.184,0
6208,-0.6151,0.8052,-88.23,-87.44,-88.24,2,0.1804,0
6272,-0.615,0.8016,-88.62,-87.88,-88.65,2,0.1769,0
6336,-0.6149,0.798,-89.13,-88.29,-89.09,2,0.1733,0
6400,-0.6149,0.7944,-89.51,-88.67,-89.48,2,0.1697,0
6464,-0.6149,0.7907,-89.9,-89.02,-89.86,2,0.166,0
